epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3676,1.72444,2.94994,2.52449,1.62398,0.02832,0.39535,0.02119,0.00952,0.02311,0.32558,0.01589,0.0054,2.10097,4.51628,61.0154,2.05226,0.000659864,0.000659864,0.000659864
2,182.34,1.7946,2.92598,2.17917,1.68464,0.36226,0.26744,0.23388,0.12394,0.24938,0.17442,0.09617,0.03089,2.172,6.76712,10.384,2.01693,0.00131778,0.00131778,0.00131778
3,272.225,1.77228,2.74766,2.00382,1.7054,0.53775,0.2907,0.32066,0.13216,0.48989,0.26744,0.27374,0.09707,2.23409,3.74942,7.15443,2.30456,0.00196689,0.00196689,0.00196689
4,361.907,1.73584,2.84313,1.90548,1.67761,0.45795,0.3242,0.32251,0.17394,0.45795,0.3242,0.30893,0.11971,1.9856,3.87728,4.28621,2.02858,0.0019604,0.0019604,0.0019604
5,451.855,1.64845,2.68567,1.69183,1.62755,0.65037,0.46512,0.53655,0.26708,0.58604,0.44186,0.43962,0.16824,1.83363,3.14041,2.0525,2.04542,0.0019472,0.0019472,0.0019472
6,536.947,1.61292,2.5425,1.62215,1.59016,0.50737,0.38372,0.32601,0.16543,0.45129,0.34884,0.27365,0.09967,1.78669,2.90438,2.79641,1.80485,0.001934,0.001934,0.001934
7,622.06,1.5487,2.4881,1.46842,1.52118,0.6544,0.35234,0.41743,0.20835,0.57391,0.31325,0.30886,0.12645,2.12343,3.24519,2.29423,2.04525,0.0019208,0.0019208,0.0019208
8,706.416,1.46299,2.42694,1.46472,1.48802,0.7083,0.39528,0.45394,0.2421,0.7083,0.39528,0.45167,0.20872,1.9184,3.04524,3.64333,1.97029,0.0019076,0.0019076,0.0019076
9,791.535,1.45623,2.31442,1.39885,1.45265,0.75131,0.45672,0.59696,0.29534,0.50912,0.5,0.50157,0.20143,1.7577,3.10583,1.60592,1.74063,0.0018944,0.0018944,0.0018944
10,882.288,1.3783,2.19796,1.24966,1.40919,0.76661,0.47674,0.53995,0.29619,0.72698,0.45349,0.48865,0.19858,1.77763,2.97694,1.728,1.81132,0.0018812,0.0018812,0.0018812
11,968.309,1.3658,2.15637,1.24099,1.36071,0.82809,0.52326,0.57338,0.30747,0.79031,0.5,0.5158,0.2132,1.80613,3.12943,1.99081,1.86799,0.001868,0.001868,0.001868
12,1058.87,1.34983,2.21406,1.19038,1.38274,0.67935,0.55814,0.63415,0.35939,0.60419,0.5,0.47892,0.2385,1.59873,2.95614,1.62486,1.70696,0.0018548,0.0018548,0.0018548
13,1154.25,1.27757,1.99875,1.09833,1.33724,0.83333,0.47674,0.59041,0.34725,0.81208,0.46512,0.53045,0.26155,1.649,2.86005,1.81302,1.71111,0.0018416,0.0018416,0.0018416
14,1248.66,1.29949,2.00799,1.10429,1.35323,0.81381,0.45747,0.54968,0.34474,0.75674,0.4186,0.49349,0.25224,1.68091,2.8267,1.8008,1.67926,0.0018284,0.0018284,0.0018284
15,1338.46,1.27711,2.00271,1.04486,1.32301,0.71324,0.57846,0.66211,0.37687,0.6989,0.56683,0.58129,0.28961,1.71716,3.28473,1.58523,1.76835,0.0018152,0.0018152,0.0018152
16,1430.04,1.2429,2.02516,1.05325,1.32597,0.78127,0.54651,0.67945,0.3924,0.71417,0.5814,0.6169,0.31079,1.60694,2.8144,1.3851,1.71398,0.001802,0.001802,0.001802
17,1514.72,1.21127,1.98045,0.99255,1.30153,0.77718,0.59302,0.64367,0.36779,0.71558,0.54651,0.52159,0.2689,1.80245,3.26483,1.65779,1.80055,0.0017888,0.0017888,0.0017888
18,1599.18,1.26339,1.9482,1.01551,1.29439,0.75059,0.48994,0.57277,0.32825,0.73792,0.51163,0.56599,0.27857,1.75983,3.11091,1.86923,1.80629,0.0017756,0.0017756,0.0017756
19,1688.63,1.15797,1.76891,0.90928,1.26293,0.63526,0.59302,0.59834,0.3587,0.64956,0.56039,0.53355,0.28175,1.60658,3.35176,1.60283,1.62482,0.0017624,0.0017624,0.0017624
20,1776.5,1.23063,1.87711,0.93396,1.28992,0.48204,0.62791,0.58683,0.31253,0.53862,0.51587,0.50617,0.22783,1.69066,2.98976,1.62223,1.80416,0.0017492,0.0017492,0.0017492
21,1866.99,1.1572,1.70232,0.86187,1.24619,0.8204,0.5814,0.64609,0.38465,0.80292,0.56977,0.61252,0.29059,1.62367,3.01114,1.45044,1.67662,0.001736,0.001736,0.001736
22,1951.87,1.14304,1.6441,0.86291,1.23477,0.81801,0.51163,0.64318,0.37229,0.77782,0.48837,0.55498,0.28872,1.63061,2.89216,1.43852,1.74643,0.0017228,0.0017228,0.0017228
23,2041.33,1.1075,1.64163,0.83817,1.21933,0.63346,0.56271,0.61395,0.35512,0.60728,0.53946,0.5257,0.2665,1.65358,3.14603,1.56188,1.79145,0.0017096,0.0017096,0.0017096
24,2131.06,1.06513,1.63302,0.78363,1.21371,0.5333,0.68605,0.59866,0.3487,0.61564,0.53488,0.50795,0.27136,1.6158,2.88254,1.54346,1.80929,0.0016964,0.0016964,0.0016964
25,2221.12,1.06571,1.62638,0.83994,1.21644,0.73344,0.53488,0.60934,0.35275,0.72264,0.53488,0.58101,0.31071,1.74898,3.50096,1.55801,1.73634,0.0016832,0.0016832,0.0016832
26,2309.38,1.0499,1.59056,0.82493,1.18921,0.81638,0.54651,0.66076,0.37449,0.79817,0.53488,0.5798,0.31325,1.66441,2.8289,1.56346,1.72003,0.00167,0.00167,0.00167
27,2399.39,1.02681,1.56358,0.76893,1.168,0.7995,0.55642,0.67217,0.39042,0.72787,0.51163,0.53206,0.30038,1.64883,2.97635,1.38275,1.76462,0.0016568,0.0016568,0.0016568
28,2484.06,1.0528,1.60548,0.85051,1.19453,0.82808,0.54651,0.67344,0.38622,0.81046,0.53488,0.61678,0.33108,1.71122,2.97835,1.29345,1.73992,0.0016436,0.0016436,0.0016436
29,2572.38,0.99671,1.47247,0.73339,1.14012,0.7541,0.57056,0.64782,0.39068,0.73941,0.56092,0.5896,0.31074,1.70155,3.21248,1.59994,1.72503,0.0016304,0.0016304,0.0016304
30,2659.23,0.99915,1.51358,0.75178,1.17749,0.8518,0.61628,0.71066,0.4315,0.83457,0.5814,0.59126,0.34555,1.60235,3.0484,1.25327,1.67694,0.0016172,0.0016172,0.0016172
31,2748.68,0.95359,1.41489,0.70372,1.11551,0.83416,0.5814,0.67126,0.39712,0.79996,0.55814,0.59351,0.32545,1.72663,3.52691,1.53587,1.81331,0.001604,0.001604,0.001604
32,2833.48,0.98222,1.45308,0.71764,1.16464,0.83683,0.59302,0.6807,0.37879,0.85384,0.60465,0.64299,0.35485,1.70085,2.96259,1.39077,1.89668,0.0015908,0.0015908,0.0015908
33,2922.76,0.97069,1.39972,0.71199,1.14508,0.77385,0.5814,0.65328,0.39211,0.72628,0.56977,0.5651,0.31496,1.57995,2.97879,1.34582,1.70027,0.0015776,0.0015776,0.0015776
34,3006.83,0.97495,1.44287,0.7224,1.1437,0.62656,0.61628,0.56097,0.33889,0.60648,0.56977,0.4774,0.25505,1.53822,3.3598,1.51292,1.71893,0.0015644,0.0015644,0.0015644
35,3092.79,0.96843,1.42307,0.70782,1.14607,0.88797,0.5814,0.6631,0.39341,0.86864,0.56977,0.60679,0.33996,1.59069,2.90908,1.39629,1.75071,0.0015512,0.0015512,0.0015512
36,3181.93,0.9129,1.34701,0.66638,1.11269,0.78195,0.66722,0.72613,0.42352,0.88847,0.55814,0.61647,0.3361,1.55361,3.02742,1.46492,1.66066,0.001538,0.001538,0.001538
37,3270.33,0.91403,1.36963,0.66745,1.11318,0.72739,0.56977,0.63391,0.38224,0.74301,0.52326,0.58531,0.28317,1.55719,2.56452,1.42532,1.68892,0.0015248,0.0015248,0.0015248
38,3360.46,0.9498,1.38136,0.65356,1.12125,0.70813,0.65116,0.69632,0.41266,0.78738,0.56977,0.61963,0.35457,1.60372,3.04064,1.27489,1.78291,0.0015116,0.0015116,0.0015116
39,3445.38,0.91681,1.33429,0.67799,1.11386,0.73211,0.5814,0.67308,0.37015,0.87064,0.52326,0.59742,0.3056,1.603,3.39695,1.30659,1.80429,0.0014984,0.0014984,0.0014984
40,3532.38,0.91388,1.31339,0.67087,1.11725,0.67554,0.63953,0.5949,0.33226,0.66469,0.57628,0.48866,0.2797,1.58515,2.67259,1.43994,1.73335,0.0014852,0.0014852,0.0014852
41,3617.66,0.88445,1.32028,0.64353,1.08902,0.64637,0.68605,0.68286,0.38851,0.63901,0.53488,0.54899,0.30528,1.57416,3.27541,1.35875,1.75749,0.001472,0.001472,0.001472
42,3701.57,0.8844,1.33242,0.63762,1.09492,0.71499,0.66279,0.61999,0.36537,0.67244,0.57292,0.49936,0.27766,1.54442,2.95517,1.29514,1.69566,0.0014588,0.0014588,0.0014588
43,3790.7,0.84919,1.2495,0.59644,1.07565,0.68015,0.61628,0.63454,0.37794,0.65448,0.59302,0.56643,0.32619,1.60907,3.26987,1.35607,1.72323,0.0014456,0.0014456,0.0014456
44,3881.1,0.8654,1.26521,0.5988,1.08616,0.734,0.67442,0.72877,0.43838,0.85031,0.55814,0.62441,0.33571,1.53563,3.46668,1.17172,1.76253,0.0014324,0.0014324,0.0014324
45,3975.71,0.82791,1.25498,0.59062,1.06358,0.75482,0.5814,0.6808,0.42905,0.77016,0.59302,0.6143,0.33286,1.50292,2.89739,1.26836,1.67337,0.0014192,0.0014192,0.0014192
46,4059.93,0.842,1.23777,0.5903,1.06367,0.79303,0.59302,0.63706,0.383,0.77748,0.5814,0.58287,0.34314,1.60281,3.10504,1.36711,1.74833,0.001406,0.001406,0.001406
47,4149.64,0.82421,1.21966,0.60261,1.07212,0.7375,0.62791,0.67226,0.38273,0.80719,0.54651,0.58331,0.31899,1.68317,3.33633,1.4895,1.74641,0.0013928,0.0013928,0.0013928
48,4240.16,0.85972,1.23448,0.60351,1.08161,0.70483,0.60465,0.63665,0.38362,0.7064,0.56977,0.56688,0.33362,1.55344,3.08533,1.48429,1.72517,0.0013796,0.0013796,0.0013796
49,4330.06,0.82487,1.21037,0.58506,1.06531,0.7959,0.54416,0.64908,0.38475,0.76397,0.51163,0.57443,0.33172,1.67355,3.33491,1.37908,1.77563,0.0013664,0.0013664,0.0013664
50,4415.04,0.82208,1.20223,0.58609,1.05249,0.62214,0.70837,0.61936,0.34952,0.66463,0.55309,0.50988,0.29338,1.64836,3.45761,1.31721,1.80015,0.0013532,0.0013532,0.0013532
51,4503.97,0.81125,1.18594,0.54773,1.04246,0.66953,0.66279,0.69622,0.39979,0.94395,0.52326,0.62786,0.34185,1.61664,3.47011,1.37899,1.79378,0.00134,0.00134,0.00134
52,4594.54,0.80514,1.15886,0.57487,1.04494,0.7101,0.59816,0.67711,0.42379,0.72144,0.56977,0.61072,0.36834,1.53752,3.30161,1.25103,1.73773,0.0013268,0.0013268,0.0013268
53,4683.55,0.77985,1.10247,0.54351,1.02148,0.85804,0.60465,0.72068,0.4113,0.79098,0.55814,0.59828,0.32716,1.57487,3.7597,1.24964,1.7457,0.0013136,0.0013136,0.0013136
54,4772.81,0.80979,1.1345,0.56909,1.05109,0.78266,0.61628,0.69725,0.41683,0.76789,0.60465,0.62849,0.33412,1.58414,3.43215,1.43457,1.7604,0.0013004,0.0013004,0.0013004
55,4863.12,0.77408,1.09848,0.54979,1.03633,0.75538,0.61628,0.6573,0.38043,0.72655,0.59302,0.56411,0.32253,1.64063,3.18176,1.25737,1.82735,0.0012872,0.0012872,0.0012872
56,4953.13,0.77775,1.15178,0.55823,1.03987,0.73008,0.63953,0.65682,0.38992,0.69278,0.5814,0.59694,0.3336,1.62893,2.98662,1.41613,1.80436,0.001274,0.001274,0.001274
57,5043.4,0.80054,1.13774,0.55466,1.0507,0.66753,0.60465,0.64127,0.3813,0.65469,0.59302,0.56183,0.31744,1.56101,3.09956,1.43132,1.74687,0.0012608,0.0012608,0.0012608
58,5128.68,0.74073,1.07292,0.50368,1.01972,0.72188,0.60465,0.62265,0.36666,0.708,0.59302,0.54588,0.31947,1.6233,3.15063,1.40035,1.82157,0.0012476,0.0012476,0.0012476
59,5217.63,0.73645,1.035,0.51433,1.01977,0.58561,0.66279,0.64107,0.37639,0.65422,0.61628,0.6033,0.34711,1.5857,3.50287,1.56389,1.74628,0.0012344,0.0012344,0.0012344
60,5307.78,0.74084,1.031,0.51268,1.01837,0.82998,0.62445,0.7228,0.44022,0.86318,0.54651,0.62096,0.34808,1.63786,3.72124,1.34429,1.81181,0.0012212,0.0012212,0.0012212
61,5393.28,0.78503,1.0991,0.53511,1.04946,0.67082,0.62791,0.64441,0.3961,0.64916,0.60465,0.57355,0.31876,1.5,2.98658,1.43381,1.66792,0.001208,0.001208,0.001208
